# BEAST v1.8.4
# Generated Sun Jan 13 09:41:33 OMST 2019 [seed=1547350892005]
# nac1_sfragm_default.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-335.533491891259	-7.834071275190789	-327.6994206160682	1.5747436251507054	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-327.6994206160682	0.0	-5.968711241216502
1000	-239.86351503635834	-0.4368957592460534	-239.42661927711228	0.17742445601468768	0.4586934527233857	2.6659179544797773	0.2570967223374902	0.2489962939168967	0.23756250886593652	0.2563444748796766	1.0	1.0	-239.42661927711228	0.0	0.9064826969013215
2000	-243.52362891982915	-0.8176863708589899	-242.70594254897017	0.2907477999084274	0.142817427170183	3.5995231262732097	0.25657639944927285	0.23426509511561175	0.23351651032810927	0.27564199510700615	1.0	1.0	-242.70594254897017	0.0	-0.3157593007693267
3000	-240.01024863570885	-0.23542615213554063	-239.7748224835733	0.24102180750072527	0.23899051174332056	4.291119496889544	0.25754445260714515	0.24413832300014476	0.22567698926961494	0.27264023512309526	1.0	1.0	-239.7748224835733	0.0	0.9985716018940617
4000	-239.97471655383407	-0.048694101836129544	-239.92602245199794	0.23119039688635917	0.18432477667364697	2.3524505973876426	0.25391850335366567	0.27080007809612794	0.22205841356418038	0.25322300498602607	1.0	1.0	-239.92602245199794	0.0	0.2644751906425804
5000	-239.6603988646018	0.4299683702707173	-240.09036723487253	0.18968198028899194	0.3289697311423078	3.172770596775427	0.2400990703671877	0.3085950773016779	0.18394445119940042	0.267361401131734	1.0	1.0	-240.09036723487253	0.0	1.622515018045744
6000	-240.8517485975606	-1.1256768424174401	-239.72607175514315	0.2577692674042695	0.32795364699660723	5.108223436185714	0.2381976520885893	0.2897422115153506	0.19801739998354367	0.2740427364125165	1.0	1.0	-239.72607175514315	0.0	0.6597255503347602
7000	-238.02810957898157	0.2913599179152031	-238.31946949689677	0.17069823455942537	0.3624530059750174	2.1372791199917067	0.2159148174674736	0.27446367544635275	0.2170653253545066	0.2925561817316672	1.0	1.0	-238.31946949689677	0.0	1.1966188430682698
8000	-239.64608635658195	-1.2275875230890985	-238.41849883349286	0.19918789140015034	0.5510306165737121	3.409404782011782	0.2166786362213509	0.27433327807104696	0.19972365113259494	0.3092644345750074	1.0	1.0	-238.41849883349286	0.0	0.5614895699756408
9000	-239.88548346742334	0.2779678523483853	-240.16345131977172	0.19254042233419172	0.23609844034549501	5.171166524106427	0.21687685396271894	0.2766312675407765	0.1991276376359844	0.3073642408605204	1.0	1.0	-240.16345131977172	0.0	1.7519859264160942
10000	-240.96108428412057	-1.1103126150662814	-239.8507716690543	0.22371075302294635	0.22994328738579803	6.479853822405653	0.2311957881985464	0.26967613463069473	0.17398903739859742	0.32513903977216163	1.0	1.0	-239.8507716690543	0.0	0.6720284063335504
11000	-239.76458771005895	-0.30401261968125715	-239.4605750903777	0.25759169969801216	0.17551401270802963	2.0590572992736993	0.18745928173230875	0.2595233137579835	0.21936681424682017	0.3336505902628878	1.0	1.0	-239.4605750903777	0.0	-0.15503194363448491
12000	-239.9424634046244	2.1759541261149673	-242.11841753073935	0.13293181824543	0.20101236087290875	1.7552331813395827	0.15773476564698496	0.30473635652280456	0.16495887238887025	0.3725700054413404	1.0	1.0	-242.11841753073935	0.0	2.3374705727761924
13000	-239.4955707275172	1.4706229069610977	-240.9661936344783	0.2198440645181698	0.19487678253020818	3.422529290065905	0.22923416091407617	0.3214567971523985	0.16495887238887025	0.28435016954465525	1.0	1.0	-240.9661936344783	0.0	2.224680981174609
14000	-241.12341087324464	-1.0357805286588533	-240.0876303445858	0.22677247389636276	0.4232060399801846	3.752402179347857	0.23092072492818452	0.31977023313829017	0.1801445454582248	0.26916449647530066	1.0	1.0	-240.0876303445858	0.0	0.6020622279832109
15000	-239.68991400631728	-1.0421410951581689	-238.6477729111591	0.24032668977397448	0.4221414415455871	2.9000656850474185	0.21443617180390812	0.3276668451972002	0.1801445454582248	0.27775243754066703	1.0	1.0	-238.6477729111591	0.0	0.30360045618473797
16000	-243.9990482430786	-2.8455974393287544	-241.15345080374985	0.28267837640175913	0.6829352158626878	4.455806142299321	0.18389855529146792	0.3276668451972002	0.1801445454582248	0.3082900540531072	1.0	1.0	-241.15345080374985	0.0	-0.5125053401203163
17000	-237.41683175965818	1.414022951123341	-238.83085471078152	0.16117564392872474	0.21784195479500876	2.7711214367509744	0.21886875938763545	0.30625336110018486	0.1801445454582248	0.294733334053955	1.0	1.0	-238.83085471078152	0.0	2.051490273341772
