# BEAST v1.8.4
# Generated Sun Jan 13 09:46:34 OMST 2019 [seed=1547351194255]
# nac1_sfragm_mod.xml
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	ac	ag	at	cg	gt	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-363.9339630046657	-38.3230941892606	-325.6108688154051	2.7243745941342197	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3333333333333333	0.789265094740505	0.23341581667433298	0.09988959006138487	-325.6108688154051	-16.635532333438686	-5.188327326488542
1000	-281.52263514721744	-36.14339634921831	-245.37923879799916	0.3014824155700926	1.172572840190896	1.9609665662160005	0.5293354907487187	1.3011703967768469	0.8178759888332002	0.9224252818391986	0.9509184678805433	1.0	0.541536663074371	0.5700409090176292	0.3592549407809697	0.644459877697481	-245.37923879799916	-16.635532333438686	-0.9964781871881618
2000	-279.90242422496544	-35.050999647712985	-244.85142457725246	0.27351008400251314	1.0817113945091774	1.4538075457062714	0.939218922870418	1.7104699325674944	1.0322345285120726	0.7775014961374165	0.7468380364219733	1.0	0.1929213832819352	0.9591311356364829	0.1451394391299305	0.114597671103859	-244.85142457725246	-16.635532333438686	-0.8559137029447161
3000	-276.4965306347604	-32.00739688736716	-244.48913374739323	0.2160515101508525	0.5718280198124468	-0.2621164433758023	0.570281296965651	1.168576253401338	0.8240156174787542	0.6028183111710884	1.5941482948545282	1.0	0.17410974394360992	0.9858797092044216	0.1427211019926854	-0.38655099983730984	-244.48913374739323	-16.635532333438686	-0.2867909594043492
4000	-276.8368826315535	-33.8306122170756	-243.0062704144779	0.23716717356555594	0.848470304179875	-0.04972391783066099	1.2980112470012815	1.417265672491805	1.201538448872419	0.4855506344700325	0.9170027830280059	1.0	0.2627229007920979	0.7856580245263309	0.16855948449504704	-0.2216555910915959	-243.0062704144779	-16.635532333438686	-1.026352765902716
5000	-277.2836455427922	-33.13369612742562	-244.1499494153666	0.2520094284457828	1.0278089134937198	-0.16325306972332498	1.3577490203299396	1.2727186738457474	0.7242328194165014	0.5077417266522125	0.5716888272512072	1.0	0.10657665359132718	1.0125520744290961	0.09885177664287265	-0.21406370596591653	-244.1499494153666	-16.635532333438686	-1.5207113932529523
6000	-271.1755438190547	-29.31837401665748	-241.85716980239724	0.20916835289762548	0.5890376681264292	1.835876032659768	0.31377676335208865	0.6053613490509012	0.5661046022535419	0.46489206183232445	0.6401535687055736	1.0	0.10425548760085641	0.994601437013153	0.1252131959848076	-0.008274262892143917	-241.85716980239724	-16.635532333438686	0.9446529728779126
7000	-270.7324565343791	-28.6520136242542	-242.08044291012487	0.17990231600006443	0.18157631298284665	0.3493968354412089	0.25965435288687605	0.9050291961527661	0.9800682758673562	0.5567391819075622	0.8360066951710662	1.0	0.24085526069584873	1.0280762873804792	0.18705856243564148	0.3102574559865868	-242.08044291012487	-16.635532333438686	0.5856878951249795
8000	-274.5884425782741	-30.12086827557667	-244.46757430269747	0.24949572404561826	0.39612609590016745	0.13142165956526397	0.21887546907214803	1.2358268890160424	1.5953453342589334	0.2962099855987162	0.76565180880208	1.0	0.2780091774668937	1.053292381003912	0.27107819375595127	-0.18989608534485092	-244.46757430269747	-16.635532333438686	-0.2552047635638168
9000	-267.6349019779746	-26.27648376311617	-241.35841821485846	0.19549628664388866	0.1739258321848308	-0.0384397803720391	0.24497960596792706	0.6971835638418907	1.264443271964717	0.35745308067151044	0.20548517687449053	1.0	0.42714444298688736	0.995529871293435	0.382083755096109	-0.5031784397119813	-241.35841821485846	-16.635532333438686	1.2845270752445916
10000	-265.6556565352227	-26.259569441907033	-239.39608709331566	0.22140333651563376	0.27679809865578925	-0.2991200427085412	0.24211718548034497	1.2518480984778413	1.0829459880671886	0.1192931249847893	0.09309014715821333	1.0	0.2554721920698828	1.0678168202765843	0.2797188922545221	0.7197277237185756	-239.39608709331566	-16.635532333438686	0.08893754996533842
11000	-272.03804884871244	-29.69252024325985	-242.34552860545259	0.3517642012857146	0.9133281244176904	0.6345330877512123	0.10974734667811968	0.7675913401298408	1.2469152504890528	0.08273153248380957	0.15386340079629293	1.0	0.8236560884889886	0.936138943130263	0.7292832810649277	-0.3740333051756705	-242.34552860545259	-16.635532333438686	-1.0815886151808989
12000	-270.86777485747155	-25.513044382680196	-245.35473047479135	0.21816977648202487	0.6402570388292151	0.13132626885053156	0.34916820749870286	0.2946943341051555	1.5923076192831949	0.07720635667221397	0.03306527083163395	1.0	0.40816219113031166	1.0181709590954293	0.2920724678094929	-0.5331315733330553	-245.35473047479135	-16.635532333438686	-0.08885089540648994
13000	-264.95250965334037	-24.4394956795486	-240.51301397379177	0.2312273636796397	0.3175856492063058	0.8890282392442919	0.15098105096095768	1.3951842275687338	1.1702410897873976	0.03540535176227211	0.02147628919337418	1.0	0.21376815509522032	0.9742821079068559	0.20719529911501453	-0.2580389980591605	-240.51301397379177	-16.635532333438686	-0.3167938756772024
14000	-262.30870998709565	-22.33603088060098	-239.97267910649467	0.24939457540023321	0.35735064976996334	-0.4869672790081365	0.10438250237762793	0.7830447407568334	0.8048605867900134	0.031165742784206075	0.0052490632032916465	1.0	0.6721390597341452	0.9121072239331103	0.47177913916088526	-0.386323580664247	-239.97267910649467	-16.635532333438686	0.08928871938265581
15000	-261.89288905784184	-23.437846504738793	-238.45504255310306	0.17764041586281967	0.21401889040201266	-0.48911305819513184	0.226803870592986	0.7830447407568334	0.7777027512548026	0.010744247755245438	0.30023390755903123	1.0	0.23380651311473497	0.9887090476464966	0.18545753138201387	-0.05790634073243886	-238.45504255310306	-16.635532333438686	0.7360497256155036
16000	-261.63257420200193	-21.056025222973688	-240.57654897902825	0.17615359931820276	0.13464723715504073	0.5719930667648009	0.15248931913158956	0.2635232335154077	0.3097155988571524	0.02378168362821765	0.6384822244320447	1.0	0.041299070969888066	1.003759883994948	0.030450772190969904	-0.034241803204790845	-240.57654897902825	-16.635532333438686	1.2999754761860036
17000	-267.8039738578742	-28.574988391414475	-239.22898546645973	0.24994930330621573	1.0712977312082583	-0.8656582754435524	0.310173678185379	0.907339841861153	0.7537078966427458	0.013187612938440138	0.6384822244320447	1.0	0.0024454901683944852	1.0019906681786201	0.0016659647670192942	-0.08674335911576052	-239.22898546645973	-16.635532333438686	-1.7427966267188115
18000	-264.35099268674844	-28.127341318345575	-236.22365136840284	0.1916641262704016	1.3066876162346988	-0.26454421452501653	0.25926569941498634	0.927782310816346	0.4057443539336291	0.012175681958014972	0.2497124882730978	1.0	0.42084812997529497	0.9745128632057546	0.42405682662806016	0.34793753696619234	-236.22365136840284	-16.635532333438686	-2.2254306166056077
19000	-262.1940738262165	-24.149145855804655	-238.0449279704118	0.2242868779397451	0.24677807102596477	-0.6648201586531037	0.30539469493914084	0.8024252992558757	0.7661034794635145	0.025713693562023434	0.20577178078806455	1.0	0.22271712965637575	0.892632495844326	0.14237618504094945	0.37831133667569	-238.0449279704118	-16.635532333438686	1.0710435513577772
20000	-264.99227363836764	-23.45597751192308	-241.53629612644454	0.2582347654576693	0.09351424301190603	0.056841720878199276	0.2761550264763131	0.5604562720159072	0.06961931378109565	0.025713693562023434	0.37660097833116535	1.0	0.03185362639337397	1.000905784690173	0.023260834707515436	0.00869042150094229	-241.53629612644454	-16.635532333438686	-2.5950381740448214
21000	-258.0610506527739	-19.77718809467393	-238.28386255809994	0.2003985160959088	0.2505810405608617	-0.5459883453312591	0.16541599997727524	0.4580511191779753	0.20111817617219335	0.01346427725559785	0.15252127185076966	1.0	0.03317136381341379	0.9907961820575973	0.021537104327112422	-0.4635098733393413	-238.28386255809994	-16.635532333438686	1.391772311543141
22000	-260.8849671655343	-24.659841575205164	-236.22512559032916	0.18430094048899143	0.10110183268853955	-0.5675624534021271	0.23476116492289112	0.6291046294385948	0.36268766136865693	0.051625517803941964	0.3138214143176189	1.0	0.06786848014937774	0.9968218696330364	0.043319792721190055	-0.08857398118213504	-236.22512559032916	-16.635532333438686	-1.0648405832905996
23000	-266.9997951272888	-28.459826298760202	-238.53996882852857	0.2404879391566977	0.5044516894537566	6.547859805990155	0.07601430219609222	0.8431858748791161	0.6797867761028125	0.0834289717154328	0.2161995646881297	1.0	0.024579620076267853	1.003128799707067	0.025330622259329853	-0.16656362426705032	-238.53996882852857	-16.635532333438686	2.518702068205364
24000	-266.4440100995544	-24.19718987028379	-242.24682022927064	0.2672551754408353	0.42005449896899477	1.9182433918877375	0.05444311590937054	1.0888224248121998	0.2208891474319792	0.028270506816426632	0.6091150095391324	1.0	0.03863608068243465	1.003798388736599	0.029154468603771175	-0.7655280471675716	-242.24682022927064	-16.635532333438686	0.8226539900184705
25000	-264.0743271843906	-26.154863779871008	-237.9194634045196	0.22330970884649967	0.1874961809600958	1.1683704858326782	0.38691668467151064	1.1610012192543273	0.6477309736558696	0.006857442745201351	0.5990474759168496	1.0	0.5568838404171564	0.9790585293001488	0.47258365830092547	0.023416584892140855	-237.9194634045196	-16.635532333438686	0.5241244267952143
26000	-263.8862934290405	-23.069394478917804	-240.81689895012272	0.1919992461539937	0.19127309782175902	-1.2236037309324346	0.7022394290239855	0.2776829136716027	0.7188978529794154	0.0012985174275764852	0.5990474759168496	1.0	0.20266688789353568	0.9870848997449393	0.25168388430897115	0.17942915677476648	-240.81689895012272	-16.635532333438686	0.3414043403594742
27000	-260.6388059794421	-20.867211052160336	-239.7715949272818	0.12317367826436279	0.21664496358482638	2.2376397624612654	0.555920544460998	0.8540983604405582	0.7188978529794154	3.7637670218728834E-4	0.5990474759168496	1.0	0.15787893597580785	1.0738266938000038	0.08980559337770892	-0.5093441663325663	-239.7715949272818	-16.635532333438686	3.230867320909849
28000	-262.1335900702201	-21.65604037465251	-240.47754969556763	0.23732874135289383	0.19776188139061907	2.1628094096494968	0.30004313271344873	0.4484615610251371	1.0221990196850734	7.816875419378178E-4	0.3059259156384966	1.0	0.3459243208652903	0.985360598450159	0.2417249407233228	-0.2998988039435843	-240.47754969556763	-16.635532333438686	1.9877760586845281
29000	-260.89090754652614	-21.128860603007627	-239.76204694351853	0.17051989436768702	0.25534270149353616	0.5961645640028251	0.30004313271344873	1.2203897831489476	0.5561626905776615	0.003421356887316702	0.12305827684661404	1.0	0.278293880815876	1.0986416598350168	0.15375794216093525	0.3545212933861272	-239.76204694351853	-16.635532333438686	1.8851317633403726
30000	-262.40264916785355	-19.31727524085815	-243.0853739269954	0.22285520463741415	0.2821162978327093	1.5650362478820539	0.27606459061640914	0.9061344237040652	0.3570490486497562	0.0019667260878986404	0.010475238505839797	1.0	0.27482856393196664	0.9769820112407219	0.35185446721313585	0.09781379062543885	-243.0853739269954	-16.635532333438686	1.056028570477837
